variant	occurrences	chapters
Bae Do-yoon	1323	ch001, ch002, ch003, ch005, ch006, ch007, ch008, ch009, ch010, ch011, ch012, ch013, ch014, ch015, ch016, ch017, ch018, ch019, ch020, ch021, ch022, ch023, ch024, ch025, ch026, ch027, ch028, ch029, ch030, ch031
Do-yoon	1325	ch001, ch002, ch003, ch005, ch006, ch007, ch008, ch009, ch010, ch011, ch012, ch013, ch014, ch015, ch016, ch017, ch018, ch019, ch020, ch021, ch022, ch023, ch024, ch025, ch026, ch027, ch028, ch029, ch030, ch031
Bae Yun	0	
Pei Yun	0	
Jessica Jung	0	
Jessica	191	ch003, ch004, ch005, ch006, ch007, ch031
Lee Boo-jin	146	ch002, ch003, ch004, ch005, ch006, ch007, ch008, ch015, ch016, ch018, ch019, ch022, ch030, ch031
Girls' Generation	0	
SNSD	0	
SM Entertainment	20	ch001, ch003, ch014, ch015, ch019, ch020, ch021
Seoul National University	11	ch001, ch003, ch008, ch012
Han River	3	ch001, ch002, ch008
Favor of Rich Women	3	ch001, ch002
Favoured by Rich Women	0	
Golden Trait	0	
