class	occurrences	chapters
aa-label	20	ch001, ch002, ch003, ch004, ch005, ch006, ch007, ch008, ch009, ch010, ch011, ch012, ch013, ch014, ch015, ch016, ch017, ch018, ch019, ch020
aa-text	22	ch001, ch002, ch003, ch004, ch005, ch006, ch007, ch008, ch009, ch010, ch011, ch012, ch013, ch014, ch015, ch016, ch017, ch018, ch019, ch020
app-meta	7	ch001, ch003, ch005, ch007, ch010, ch011, ch018
app-screen	7	ch001, ch003, ch005, ch007, ch010, ch011, ch018
app-title	7	ch001, ch003, ch005, ch007, ch010, ch011, ch018
author-aside	20	ch001, ch002, ch003, ch004, ch005, ch006, ch007, ch008, ch009, ch010, ch011, ch012, ch013, ch014, ch015, ch016, ch017, ch018, ch019, ch020
beat	2	ch001, ch005
bf-band	9	ch002, ch003, ch004, ch008, ch012, ch013, ch014, ch015, ch016
bf-item	44	ch002, ch003, ch004, ch008, ch012, ch013, ch014, ch015, ch016
bf-key	44	ch002, ch003, ch004, ch008, ch012, ch013, ch014, ch015, ch016
bf-note	9	ch002, ch003, ch004, ch008, ch012, ch013, ch014, ch015, ch016
bf-source	9	ch002, ch003, ch004, ch008, ch012, ch013, ch014, ch015, ch016
bf-title	9	ch002, ch003, ch004, ch008, ch012, ch013, ch014, ch015, ch016
briefing-block	9	ch002, ch003, ch004, ch008, ch012, ch013, ch014, ch015, ch016
bright	1	ch006
chapter-header	20	ch001, ch002, ch003, ch004, ch005, ch006, ch007, ch008, ch009, ch010, ch011, ch012, ch013, ch014, ch015, ch016, ch017, ch018, ch019, ch020
chapter-number	20	ch001, ch002, ch003, ch004, ch005, ch006, ch007, ch008, ch009, ch010, ch011, ch012, ch013, ch014, ch015, ch016, ch017, ch018, ch019, ch020
chapter-rule	20	ch001, ch002, ch003, ch004, ch005, ch006, ch007, ch008, ch009, ch010, ch011, ch012, ch013, ch014, ch015, ch016, ch017, ch018, ch019, ch020
chapter-title	20	ch001, ch002, ch003, ch004, ch005, ch006, ch007, ch008, ch009, ch010, ch011, ch012, ch013, ch014, ch015, ch016, ch017, ch018, ch019, ch020
char-intro-block	12	ch001, ch002, ch003, ch005, ch006, ch009, ch012, ch013, ch014, ch017, ch018, ch020
chat-bubble	5	ch020
chat-clear	1	ch020
chat-container	1	ch020
chat-header	1	ch020
chat-meta	4	ch020
chat-name	4	ch020
chat-received	4	ch020
chat-sent	1	ch020
chat-sticker	1	ch020
checklist-block	14	ch001, ch002, ch003, ch004, ch005, ch007, ch008, ch009, ch012, ch013, ch015, ch016, ch019, ch020
